,ConfirmedForeignNational,ConfirmedIndianNational,Cured,Date,Deaths,State/UnionTerritory
0,0.0,1.0,0.0,30/01/20,0.0,Kerala
1,0.0,1.0,0.0,31/01/20,0.0,Kerala
2,0.0,2.0,0.0,01/02/20,0.0,Kerala
3,0.0,3.0,0.0,02/02/20,0.0,Kerala
4,0.0,3.0,0.0,03/02/20,0.0,Kerala
5,0.0,3.0,0.0,04/02/20,0.0,Kerala
6,0.0,3.0,0.0,05/02/20,0.0,Kerala
7,0.0,3.0,0.0,06/02/20,0.0,Kerala
8,0.0,3.0,0.0,07/02/20,0.0,Kerala
9,0.0,3.0,0.0,08/02/20,0.0,Kerala
10,0.0,3.0,0.0,09/02/20,0.0,Kerala
11,0.0,3.0,0.0,10/02/20,0.0,Kerala
12,0.0,3.0,0.0,11/02/20,0.0,Kerala
13,0.0,3.0,0.0,12/02/20,0.0,Kerala
14,0.0,3.0,0.0,13/02/20,0.0,Kerala
15,0.0,3.0,0.0,14/02/20,0.0,Kerala
16,0.0,3.0,0.0,15/02/20,0.0,Kerala
17,0.0,3.0,0.0,16/02/20,0.0,Kerala
18,0.0,3.0,0.0,17/02/20,0.0,Kerala
19,0.0,3.0,0.0,18/02/20,0.0,Kerala
20,0.0,3.0,0.0,19/02/20,0.0,Kerala
21,0.0,3.0,0.0,20/02/20,0.0,Kerala
22,0.0,3.0,0.0,21/02/20,0.0,Kerala
23,0.0,3.0,0.0,22/02/20,0.0,Kerala
24,0.0,3.0,0.0,23/02/20,0.0,Kerala
25,0.0,3.0,0.0,24/02/20,0.0,Kerala
26,0.0,3.0,0.0,25/02/20,0.0,Kerala
27,0.0,3.0,0.0,26/02/20,0.0,Kerala
28,0.0,3.0,0.0,27/02/20,0.0,Kerala
29,0.0,3.0,0.0,28/02/20,0.0,Kerala
30,0.0,3.0,0.0,29/02/20,0.0,Kerala
31,0.0,3.0,0.0,01/03/20,0.0,Kerala
32,0.0,1.0,0.0,02/03/20,0.0,Telengana
33,0.0,3.0,0.0,02/03/20,0.0,Kerala
34,0.0,1.0,0.0,02/03/20,0.0,Delhi
35,0.0,1.0,0.0,03/03/20,0.0,Telengana
36,1.0,0.0,0.0,03/03/20,0.0,Rajasthan
37,0.0,3.0,3.0,03/03/20,0.0,Kerala
38,0.0,1.0,0.0,03/03/20,0.0,Delhi
39,0.0,6.0,0.0,04/03/20,0.0,Uttar Pradesh
40,0.0,3.0,3.0,04/03/20,0.0,Kerala
41,2.0,0.0,0.0,04/03/20,0.0,Haryana
42,0.0,1.0,0.0,04/03/20,0.0,Delhi
43,0.0,1.0,0.0,04/03/20,0.0,Telengana
44,14.0,1.0,0.0,04/03/20,0.0,Rajasthan
45,0.0,2.0,0.0,05/03/20,0.0,Delhi
46,2.0,0.0,0.0,05/03/20,0.0,Haryana
47,0.0,3.0,3.0,05/03/20,0.0,Kerala
48,14.0,1.0,0.0,05/03/20,0.0,Rajasthan
49,0.0,1.0,0.0,05/03/20,0.0,Telengana
50,0.0,7.0,0.0,05/03/20,0.0,Uttar Pradesh
51,0.0,3.0,0.0,06/03/20,0.0,Delhi
52,2.0,0.0,0.0,06/03/20,0.0,Haryana
53,0.0,3.0,3.0,06/03/20,0.0,Kerala
54,14.0,1.0,0.0,06/03/20,0.0,Rajasthan
55,0.0,7.0,0.0,06/03/20,0.0,Uttar Pradesh
56,0.0,1.0,0.0,06/03/20,0.0,Telengana
57,0.0,3.0,3.0,07/03/20,0.0,Kerala
58,0.0,7.0,0.0,07/03/20,0.0,Uttar Pradesh
59,0.0,2.0,0.0,07/03/20,0.0,Union Territory of Ladakh
60,0.0,1.0,0.0,07/03/20,0.0,Telengana
61,0.0,1.0,0.0,07/03/20,0.0,Tamil Nadu
62,0.0,3.0,0.0,07/03/20,0.0,Delhi
63,2.0,0.0,0.0,07/03/20,0.0,Haryana
64,14.0,1.0,0.0,07/03/20,0.0,Rajasthan
65,0.0,2.0,0.0,08/03/20,0.0,Union Territory of Ladakh
66,0.0,1.0,0.0,08/03/20,0.0,Telengana
67,0.0,1.0,0.0,08/03/20,0.0,Tamil Nadu
68,14.0,1.0,0.0,08/03/20,0.0,Rajasthan
69,0.0,8.0,3.0,08/03/20,0.0,Kerala
70,2.0,0.0,0.0,08/03/20,0.0,Haryana
71,0.0,3.0,0.0,08/03/20,0.0,Delhi
72,0.0,7.0,0.0,08/03/20,0.0,Uttar Pradesh
73,0.0,2.0,0.0,09/03/20,0.0,Union Territory of Ladakh
74,0.0,1.0,0.0,09/03/20,0.0,Karnataka
75,0.0,9.0,3.0,09/03/20,0.0,Kerala
76,0.0,2.0,0.0,09/03/20,0.0,Maharashtra
77,0.0,1.0,0.0,09/03/20,0.0,Punjab
78,14.0,1.0,0.0,09/03/20,0.0,Rajasthan
79,0.0,1.0,0.0,09/03/20,0.0,Tamil Nadu
80,0.0,1.0,0.0,09/03/20,0.0,Telengana
81,0.0,1.0,0.0,09/03/20,0.0,Union Territory of Jammu and Kashmir
82,0.0,7.0,0.0,09/03/20,0.0,Uttar Pradesh
83,2.0,0.0,0.0,09/03/20,0.0,Haryana
84,0.0,4.0,0.0,09/03/20,0.0,Delhi
85,0.0,7.0,0.0,10/03/20,0.0,Uttar Pradesh
86,0.0,2.0,0.0,10/03/20,0.0,Union Territory of Ladakh
87,0.0,4.0,0.0,10/03/20,0.0,Delhi
88,2.0,0.0,0.0,10/03/20,0.0,Haryana
89,0.0,4.0,0.0,10/03/20,0.0,Karnataka
90,0.0,15.0,3.0,10/03/20,0.0,Kerala
91,0.0,5.0,0.0,10/03/20,0.0,Maharashtra
92,0.0,1.0,0.0,10/03/20,0.0,Punjab
93,14.0,1.0,0.0,10/03/20,0.0,Rajasthan
94,0.0,1.0,0.0,10/03/20,0.0,Tamil Nadu
95,0.0,1.0,0.0,10/03/20,0.0,Telengana
96,0.0,1.0,0.0,10/03/20,0.0,Union Territory of Jammu and Kashmir
97,0.0,2.0,0.0,11/03/20,0.0,Maharashtra
98,0.0,5.0,0.0,11/03/20,0.0,Delhi
99,14.0,0.0,0.0,11/03/20,0.0,Haryana
100,0.0,17.0,3.0,11/03/20,0.0,Kerala
101,2.0,1.0,0.0,11/03/20,0.0,Rajasthan
102,0.0,1.0,0.0,11/03/20,0.0,Telengana
103,0.0,9.0,0.0,11/03/20,0.0,Uttar Pradesh
104,0.0,2.0,0.0,11/03/20,0.0,Union Territory of Ladakh
105,0.0,1.0,0.0,11/03/20,0.0,Tamil Nadu
106,0.0,1.0,0.0,11/03/20,0.0,Union Territory of Jammu and Kashmir
107,0.0,1.0,0.0,11/03/20,0.0,Punjab
108,0.0,4.0,0.0,11/03/20,0.0,Karnataka
109,0.0,6.0,0.0,12/03/20,0.0,Delhi
110,14.0,0.0,0.0,12/03/20,0.0,Haryana
111,0.0,17.0,3.0,12/03/20,0.0,Kerala
112,2.0,1.0,0.0,12/03/20,0.0,Rajasthan
113,0.0,1.0,0.0,12/03/20,0.0,Telengana
114,1.0,10.0,0.0,12/03/20,0.0,Uttar Pradesh
115,0.0,3.0,0.0,12/03/20,0.0,Union Territory of Ladakh
116,0.0,1.0,0.0,12/03/20,0.0,Tamil Nadu
117,0.0,1.0,0.0,12/03/20,0.0,Union Territory of Jammu and Kashmir
118,0.0,1.0,0.0,12/03/20,0.0,Punjab
119,0.0,4.0,0.0,12/03/20,0.0,Karnataka
120,0.0,11.0,0.0,12/03/20,0.0,Maharashtra
121,0.0,1.0,0.0,12/03/20,0.0,Andhra Pradesh
122,0.0,6.0,0.0,13/03/20,0.0,Delhi
123,14.0,0.0,0.0,13/03/20,0.0,Haryana
124,0.0,19.0,3.0,13/03/20,0.0,Kerala
125,2.0,1.0,0.0,13/03/20,0.0,Rajasthan
126,0.0,1.0,0.0,13/03/20,0.0,Telengana
127,1.0,10.0,0.0,13/03/20,0.0,Uttar Pradesh
128,0.0,3.0,0.0,13/03/20,0.0,Union Territory of Ladakh
129,0.0,1.0,0.0,13/03/20,0.0,Tamil Nadu
130,0.0,1.0,0.0,13/03/20,0.0,Union Territory of Jammu and Kashmir
131,0.0,1.0,0.0,13/03/20,0.0,Punjab
132,0.0,6.0,0.0,13/03/20,1.0,Karnataka
133,0.0,14.0,0.0,13/03/20,0.0,Maharashtra
134,0.0,1.0,0.0,13/03/20,0.0,Andhra Pradesh
135,0.0,7.0,1.0,14/03/20,1.0,Delhi
136,14.0,0.0,0.0,14/03/20,0.0,Haryana
137,0.0,19.0,3.0,14/03/20,0.0,Kerala
138,2.0,1.0,1.0,14/03/20,0.0,Rajasthan
139,0.0,1.0,0.0,14/03/20,0.0,Telengana
140,1.0,11.0,5.0,14/03/20,0.0,Uttar Pradesh
141,0.0,3.0,0.0,14/03/20,0.0,Union Territory of Ladakh
142,0.0,1.0,0.0,14/03/20,0.0,Tamil Nadu
143,0.0,2.0,0.0,14/03/20,0.0,Union Territory of Jammu and Kashmir
144,0.0,1.0,0.0,14/03/20,0.0,Punjab
145,0.0,6.0,0.0,14/03/20,1.0,Karnataka
146,0.0,14.0,0.0,14/03/20,0.0,Maharashtra
147,0.0,1.0,0.0,14/03/20,0.0,Andhra Pradesh
148,0.0,1.0,0.0,15/03/20,0.0,Andhra Pradesh
149,0.0,7.0,2.0,15/03/20,1.0,Delhi
150,14.0,0.0,0.0,15/03/20,0.0,Haryana
151,0.0,6.0,0.0,15/03/20,1.0,Karnataka
152,0.0,22.0,3.0,15/03/20,0.0,Kerala
153,0.0,32.0,0.0,15/03/20,0.0,Maharashtra
154,0.0,1.0,0.0,15/03/20,0.0,Punjab
155,2.0,2.0,3.0,15/03/20,0.0,Rajasthan
156,0.0,1.0,0.0,15/03/20,0.0,Tamil Nadu
157,0.0,3.0,1.0,15/03/20,0.0,Telengana
158,0.0,2.0,0.0,15/03/20,0.0,Union Territory of Jammu and Kashmir
159,0.0,3.0,0.0,15/03/20,0.0,Union Territory of Ladakh
160,1.0,12.0,4.0,15/03/20,0.0,Uttar Pradesh
161,0.0,1.0,0.0,15/03/20,0.0,Uttarakhand
162,0.0,1.0,0.0,16/03/20,0.0,Andhra Pradesh
163,0.0,7.0,2.0,16/03/20,1.0,Delhi
164,14.0,0.0,0.0,16/03/20,0.0,Haryana
165,0.0,6.0,0.0,16/03/20,1.0,Karnataka
166,0.0,23.0,3.0,16/03/20,0.0,Kerala
167,0.0,32.0,0.0,16/03/20,0.0,Maharashtra
168,0.0,1.0,0.0,16/03/20,0.0,Odisha
169,0.0,1.0,0.0,16/03/20,0.0,Punjab
170,2.0,2.0,3.0,16/03/20,0.0,Rajasthan
171,0.0,1.0,0.0,16/03/20,0.0,Tamil Nadu
172,0.0,3.0,1.0,16/03/20,0.0,Telengana
173,0.0,3.0,0.0,16/03/20,0.0,Union Territory of Jammu and Kashmir
174,0.0,4.0,0.0,16/03/20,0.0,Union Territory of Ladakh
175,1.0,12.0,4.0,16/03/20,0.0,Uttar Pradesh
176,0.0,1.0,0.0,16/03/20,0.0,Uttarakhand
177,0.0,1.0,0.0,17/03/20,0.0,Andhra Pradesh
178,0.0,8.0,2.0,17/03/20,1.0,Delhi
179,14.0,1.0,0.0,17/03/20,0.0,Haryana
180,0.0,11.0,0.0,17/03/20,1.0,Karnataka
181,2.0,24.0,3.0,17/03/20,0.0,Kerala
182,3.0,36.0,0.0,17/03/20,1.0,Maharashtra
183,0.0,1.0,0.0,17/03/20,0.0,Odisha
184,0.0,1.0,0.0,17/03/20,0.0,Punjab
185,2.0,2.0,3.0,17/03/20,0.0,Rajasthan
186,0.0,1.0,0.0,17/03/20,0.0,Tamil Nadu
187,2.0,3.0,1.0,17/03/20,0.0,Telengana
188,0.0,3.0,0.0,17/03/20,0.0,Union Territory of Jammu and Kashmir
189,0.0,6.0,0.0,17/03/20,0.0,Union Territory of Ladakh
190,1.0,14.0,5.0,17/03/20,0.0,Uttar Pradesh
191,0.0,1.0,0.0,17/03/20,0.0,Uttarakhand
192,0.0,1.0,0.0,18/03/20,0.0,Andhra Pradesh
193,1.0,9.0,2.0,18/03/20,1.0,Delhi
194,14.0,3.0,0.0,18/03/20,0.0,Haryana
195,0.0,11.0,0.0,18/03/20,1.0,Karnataka
196,2.0,25.0,3.0,18/03/20,0.0,Kerala
197,3.0,39.0,0.0,18/03/20,1.0,Maharashtra
198,0.0,1.0,0.0,18/03/20,0.0,Odisha
199,0.0,1.0,0.0,18/03/20,0.0,Pondicherry
200,0.0,1.0,0.0,18/03/20,0.0,Punjab
201,2.0,2.0,3.0,18/03/20,0.0,Rajasthan
202,0.0,1.0,0.0,18/03/20,0.0,Tamil Nadu
203,2.0,4.0,1.0,18/03/20,0.0,Telengana
204,0.0,3.0,0.0,18/03/20,0.0,Union Territory of Jammu and Kashmir
205,0.0,8.0,0.0,18/03/20,0.0,Union Territory of Ladakh
206,1.0,15.0,5.0,18/03/20,0.0,Uttar Pradesh
207,0.0,1.0,0.0,18/03/20,0.0,Uttarakhand
208,0.0,1.0,0.0,18/03/20,0.0,West Bengal
209,0.0,2.0,0.0,19/03/20,0.0,Andhra Pradesh
210,0.0,1.0,0.0,19/03/20,0.0,Chattisgarh
211,1.0,11.0,3.0,19/03/20,1.0,Delhi
212,14.0,3.0,0.0,19/03/20,0.0,Haryana
213,0.0,14.0,0.0,19/03/20,1.0,Karnataka
214,2.0,25.0,3.0,19/03/20,0.0,Kerala
215,3.0,44.0,0.0,19/03/20,1.0,Maharashtra
216,0.0,1.0,0.0,19/03/20,0.0,Odisha
217,0.0,1.0,0.0,19/03/20,0.0,Pondicherry
218,0.0,2.0,0.0,19/03/20,1.0,Punjab
219,2.0,5.0,3.0,19/03/20,0.0,Rajasthan
220,0.0,2.0,1.0,19/03/20,0.0,Tamil Nadu
221,2.0,4.0,1.0,19/03/20,0.0,Telengana
222,0.0,1.0,0.0,19/03/20,0.0,Union Territory of Chandigarh
223,0.0,4.0,0.0,19/03/20,0.0,Union Territory of Jammu and Kashmir
224,0.0,8.0,0.0,19/03/20,0.0,Union Territory of Ladakh
225,1.0,18.0,9.0,19/03/20,0.0,Uttar Pradesh
226,0.0,1.0,0.0,19/03/20,0.0,Uttarakhand
227,0.0,1.0,0.0,19/03/20,0.0,West Bengal
228,0.0,3.0,0.0,20/03/20,0.0,Andhra Pradesh
229,0.0,1.0,0.0,20/03/20,0.0,Chhattisgarh
230,1.0,16.0,5.0,20/03/20,1.0,Delhi
231,0.0,5.0,0.0,20/03/20,0.0,Gujarat
232,14.0,3.0,0.0,20/03/20,0.0,Haryana
233,0.0,15.0,1.0,20/03/20,1.0,Karnataka
234,2.0,26.0,3.0,20/03/20,0.0,Kerala
235,3.0,49.0,0.0,20/03/20,1.0,Maharashtra
236,0.0,2.0,0.0,20/03/20,0.0,Odisha
237,0.0,1.0,0.0,20/03/20,0.0,Puducherry
238,0.0,2.0,0.0,20/03/20,1.0,Punjab
239,2.0,15.0,3.0,20/03/20,0.0,Rajasthan
240,0.0,3.0,1.0,20/03/20,0.0,Tamil Nadu
241,9.0,8.0,1.0,20/03/20,0.0,Telengana
242,0.0,1.0,0.0,20/03/20,0.0,Union Territory of Chandigarh
243,0.0,4.0,0.0,20/03/20,0.0,Union Territory of Jammu and Kashmir
244,0.0,10.0,0.0,20/03/20,0.0,Union Territory of Ladakh
245,1.0,22.0,9.0,20/03/20,0.0,Uttar Pradesh
246,0.0,3.0,0.0,20/03/20,0.0,Uttarakhand
247,0.0,2.0,0.0,20/03/20,0.0,West Bengal
248,0.0,3.0,0.0,21/03/20,0.0,Andhra Pradesh
249,0.0,1.0,0.0,21/03/20,0.0,Chhattisgarh
250,1.0,25.0,5.0,21/03/20,1.0,Delhi
251,0.0,7.0,0.0,21/03/20,0.0,Gujarat
252,14.0,3.0,0.0,21/03/20,0.0,Haryana
253,0.0,2.0,0.0,21/03/20,0.0,Himachal Pradesh
254,0.0,15.0,1.0,21/03/20,1.0,Karnataka
255,7.0,33.0,3.0,21/03/20,0.0,Kerala
256,0.0,4.0,0.0,21/03/20,0.0,Madhya Pradesh
257,3.0,60.0,0.0,21/03/20,1.0,Maharashtra
258,0.0,2.0,0.0,21/03/20,0.0,Odisha
259,0.0,1.0,0.0,21/03/20,0.0,Puducherry
260,0.0,13.0,0.0,21/03/20,1.0,Punjab
261,2.0,15.0,3.0,21/03/20,0.0,Rajasthan
262,0.0,3.0,1.0,21/03/20,0.0,Tamil Nadu
263,11.0,10.0,1.0,21/03/20,0.0,Telengana
264,0.0,1.0,0.0,21/03/20,0.0,Chandigarh
265,0.0,4.0,0.0,21/03/20,0.0,Jammu and Kashmir
266,0.0,13.0,0.0,21/03/20,0.0,Ladakh
267,1.0,23.0,9.0,21/03/20,0.0,Uttar Pradesh
268,0.0,3.0,0.0,21/03/20,0.0,Uttarakhand
269,0.0,3.0,0.0,21/03/20,0.0,West Bengal
270,0.0,5.0,0.0,22/03/20,0.0,Andhra Pradesh
271,0.0,2.0,0.0,22/03/20,1.0,Bihar
272,0.0,1.0,0.0,22/03/20,0.0,Chhattisgarh
273,1.0,28.0,5.0,22/03/20,1.0,Delhi
274,0.0,18.0,0.0,22/03/20,1.0,Gujarat
275,14.0,7.0,0.0,22/03/20,0.0,Haryana
276,0.0,2.0,0.0,22/03/20,0.0,Himachal Pradesh
277,0.0,26.0,2.0,22/03/20,1.0,Karnataka
278,7.0,45.0,3.0,22/03/20,0.0,Kerala
279,0.0,4.0,0.0,22/03/20,0.0,Madhya Pradesh
280,3.0,64.0,0.0,22/03/20,2.0,Maharashtra
281,0.0,2.0,0.0,22/03/20,0.0,Odisha
282,0.0,1.0,0.0,22/03/20,0.0,Puducherry
283,0.0,21.0,0.0,22/03/20,1.0,Punjab
284,2.0,22.0,3.0,22/03/20,0.0,Rajasthan
285,2.0,5.0,1.0,22/03/20,0.0,Tamil Nadu
286,11.0,11.0,1.0,22/03/20,0.0,Telengana
287,0.0,5.0,0.0,22/03/20,0.0,Chandigarh
288,0.0,4.0,0.0,22/03/20,0.0,Jammu and Kashmir
289,0.0,13.0,0.0,22/03/20,0.0,Ladakh
290,1.0,26.0,9.0,22/03/20,0.0,Uttar Pradesh
291,0.0,3.0,0.0,22/03/20,0.0,Uttarakhand
292,0.0,4.0,0.0,22/03/20,0.0,West Bengal
293,0.0,0.0,0.0,30/01/20,0.0,Andhra Pradesh
294,0.0,0.0,0.0,31/01/20,0.0,Andhra Pradesh
295,0.0,0.0,0.0,01/02/20,0.0,Andhra Pradesh
296,0.0,0.0,0.0,02/02/20,0.0,Andhra Pradesh
297,0.0,0.0,0.0,03/02/20,0.0,Andhra Pradesh
298,0.0,0.0,0.0,04/02/20,0.0,Andhra Pradesh
299,0.0,0.0,0.0,05/02/20,0.0,Andhra Pradesh
300,0.0,0.0,0.0,06/02/20,0.0,Andhra Pradesh
301,0.0,0.0,0.0,07/02/20,0.0,Andhra Pradesh
302,0.0,0.0,0.0,08/02/20,0.0,Andhra Pradesh
303,0.0,0.0,0.0,09/02/20,0.0,Andhra Pradesh
304,0.0,0.0,0.0,10/02/20,0.0,Andhra Pradesh
305,0.0,0.0,0.0,11/02/20,0.0,Andhra Pradesh
306,0.0,0.0,0.0,12/02/20,0.0,Andhra Pradesh
307,0.0,0.0,0.0,13/02/20,0.0,Andhra Pradesh
308,0.0,0.0,0.0,14/02/20,0.0,Andhra Pradesh
309,0.0,0.0,0.0,15/02/20,0.0,Andhra Pradesh
310,0.0,0.0,0.0,16/02/20,0.0,Andhra Pradesh
311,0.0,0.0,0.0,17/02/20,0.0,Andhra Pradesh
312,0.0,0.0,0.0,18/02/20,0.0,Andhra Pradesh
313,0.0,0.0,0.0,19/02/20,0.0,Andhra Pradesh
314,0.0,0.0,0.0,20/02/20,0.0,Andhra Pradesh
315,0.0,0.0,0.0,21/02/20,0.0,Andhra Pradesh
316,0.0,0.0,0.0,22/02/20,0.0,Andhra Pradesh
317,0.0,0.0,0.0,23/02/20,0.0,Andhra Pradesh
318,0.0,0.0,0.0,24/02/20,0.0,Andhra Pradesh
319,0.0,0.0,0.0,25/02/20,0.0,Andhra Pradesh
320,0.0,0.0,0.0,26/02/20,0.0,Andhra Pradesh
321,0.0,0.0,0.0,27/02/20,0.0,Andhra Pradesh
322,0.0,0.0,0.0,28/02/20,0.0,Andhra Pradesh
323,0.0,0.0,0.0,29/02/20,0.0,Andhra Pradesh
324,0.0,0.0,0.0,01/03/20,0.0,Andhra Pradesh
325,0.0,0.0,0.0,02/03/20,0.0,Andhra Pradesh
326,0.0,0.0,0.0,03/03/20,0.0,Andhra Pradesh
327,0.0,0.0,0.0,04/03/20,0.0,Andhra Pradesh
328,0.0,0.0,0.0,05/03/20,0.0,Andhra Pradesh
329,0.0,0.0,0.0,06/03/20,0.0,Andhra Pradesh
330,0.0,0.0,0.0,07/03/20,0.0,Andhra Pradesh
331,0.0,0.0,0.0,08/03/20,0.0,Andhra Pradesh
332,0.0,0.0,0.0,09/03/20,0.0,Andhra Pradesh
333,0.0,0.0,0.0,10/03/20,0.0,Andhra Pradesh
334,0.0,0.0,0.0,11/03/20,0.0,Andhra Pradesh
335,0.0,0.0,0.0,30/01/20,0.0,Bihar
336,0.0,0.0,0.0,31/01/20,0.0,Bihar
337,0.0,0.0,0.0,01/02/20,0.0,Bihar
338,0.0,0.0,0.0,02/02/20,0.0,Bihar
339,0.0,0.0,0.0,03/02/20,0.0,Bihar
340,0.0,0.0,0.0,04/02/20,0.0,Bihar
341,0.0,0.0,0.0,05/02/20,0.0,Bihar
342,0.0,0.0,0.0,06/02/20,0.0,Bihar
343,0.0,0.0,0.0,07/02/20,0.0,Bihar
344,0.0,0.0,0.0,08/02/20,0.0,Bihar
345,0.0,0.0,0.0,09/02/20,0.0,Bihar
346,0.0,0.0,0.0,10/02/20,0.0,Bihar
347,0.0,0.0,0.0,11/02/20,0.0,Bihar
348,0.0,0.0,0.0,12/02/20,0.0,Bihar
349,0.0,0.0,0.0,13/02/20,0.0,Bihar
350,0.0,0.0,0.0,14/02/20,0.0,Bihar
351,0.0,0.0,0.0,15/02/20,0.0,Bihar
352,0.0,0.0,0.0,16/02/20,0.0,Bihar
353,0.0,0.0,0.0,17/02/20,0.0,Bihar
354,0.0,0.0,0.0,18/02/20,0.0,Bihar
355,0.0,0.0,0.0,19/02/20,0.0,Bihar
356,0.0,0.0,0.0,20/02/20,0.0,Bihar
357,0.0,0.0,0.0,21/02/20,0.0,Bihar
358,0.0,0.0,0.0,22/02/20,0.0,Bihar
359,0.0,0.0,0.0,23/02/20,0.0,Bihar
360,0.0,0.0,0.0,24/02/20,0.0,Bihar
361,0.0,0.0,0.0,25/02/20,0.0,Bihar
362,0.0,0.0,0.0,26/02/20,0.0,Bihar
363,0.0,0.0,0.0,27/02/20,0.0,Bihar
364,0.0,0.0,0.0,28/02/20,0.0,Bihar
365,0.0,0.0,0.0,29/02/20,0.0,Bihar
366,0.0,0.0,0.0,01/03/20,0.0,Bihar
367,0.0,0.0,0.0,02/03/20,0.0,Bihar
368,0.0,0.0,0.0,03/03/20,0.0,Bihar
369,0.0,0.0,0.0,04/03/20,0.0,Bihar
370,0.0,0.0,0.0,05/03/20,0.0,Bihar
371,0.0,0.0,0.0,06/03/20,0.0,Bihar
372,0.0,0.0,0.0,07/03/20,0.0,Bihar
373,0.0,0.0,0.0,08/03/20,0.0,Bihar
374,0.0,0.0,0.0,09/03/20,0.0,Bihar
375,0.0,0.0,0.0,10/03/20,0.0,Bihar
376,0.0,0.0,0.0,11/03/20,0.0,Bihar
377,0.0,0.0,0.0,12/03/20,0.0,Bihar
378,0.0,0.0,0.0,13/03/20,0.0,Bihar
379,0.0,0.0,0.0,14/03/20,0.0,Bihar
380,0.0,0.0,0.0,15/03/20,0.0,Bihar
381,0.0,0.0,0.0,16/03/20,0.0,Bihar
382,0.0,0.0,0.0,17/03/20,0.0,Bihar
383,0.0,0.0,0.0,18/03/20,0.0,Bihar
